GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2869756,17948
0400001US02,02,Alaska -- Urban,475706,6152
0400001US04,04,Arizona -- Urban,5892239,18284
0400001US05,05,Arkansas -- Urban,1657232,14664
0400001US06,06,California -- Urban,36146347,30831
0400001US08,08,Colorado -- Urban,4480934,13863
0400001US09,09,Connecticut -- Urban,3165418,12591
0400001US10,10,Delaware -- Urban,753451,8904
0400001US11,11,District of Columbia -- Urban,632323,*****
0400001US12,12,Florida -- Urban,17650479,27647
0400001US13,13,Georgia -- Urban,7473717,27094
0400001US15,15,Hawaii -- Urban,1282585,8238
0400001US16,16,Idaho -- Urban,1137643,10697
0400001US17,17,Illinois -- Urban,11387956,20737
0400001US18,18,Indiana -- Urban,4740621,17464
0400001US19,19,Iowa -- Urban,1963070,16329
0400001US20,20,Kansas -- Urban,2139423,15126
0400001US21,21,Kentucky -- Urban,2580339,15412
0400001US22,22,Louisiana -- Urban,3379062,18749
0400001US23,23,Maine -- Urban,505678,10501
0400001US24,24,Maryland -- Urban,5138379,15390
0400001US25,25,Massachusetts -- Urban,6117410,13559
0400001US26,26,Michigan -- Urban,7353427,22401
0400001US27,27,Minnesota -- Urban,3930842,23383
0400001US28,28,Mississippi -- Urban,1488522,16338
0400001US29,29,Missouri -- Urban,4242016,20550
0400001US30,30,Montana -- Urban,555282,8969
0400001US31,31,Nebraska -- Urban,1354264,9775
0400001US32,32,Nevada -- Urban,2596064,7304
0400001US33,33,New Hampshire -- Urban,793448,10446
0400001US34,34,New Jersey -- Urban,8403582,13951
0400001US35,35,New Mexico -- Urban,1629065,11513
0400001US36,36,New York -- Urban,17204662,21410
0400001US37,37,North Carolina -- Urban,6474879,25175
0400001US38,38,North Dakota -- Urban,414822,6968
0400001US39,39,Ohio -- Urban,9001461,24100
0400001US40,40,Oklahoma -- Urban,2544293,15373
0400001US41,41,Oregon -- Urban,3169959,16622
0400001US42,42,Pennsylvania -- Urban,10064883,25468
0400001US44,44,Rhode Island -- Urban,953960,6194
0400001US45,45,South Carolina -- Urban,3134660,19776
0400001US46,46,South Dakota -- Urban,472051,6913
0400001US47,47,Tennessee -- Urban,4295811,20477
0400001US48,48,Texas -- Urban,22158201,38818
0400001US49,49,Utah -- Urban,2587923,8879
0400001US50,50,Vermont -- Urban,231586,5699
0400001US51,51,Virginia -- Urban,6198083,16319
0400001US53,53,Washington -- Urban,5800613,18687
0400001US54,54,West Virginia -- Urban,905644,12829
0400001US55,55,Wisconsin -- Urban,3990958,22788
0400001US56,56,Wyoming -- Urban,373119,8286
