GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2503926,6437
0400001US02,02,Alaska -- Urban,439467,2411
0400001US04,04,Arizona -- Urban,4882190,8584
0400001US05,05,Arkansas -- Urban,1460006,5261
0400001US06,06,California -- Urban,33547229,14081
0400001US08,08,Colorado -- Urban,3836992,6632
0400001US09,09,Connecticut -- Urban,3080395,3975
0400001US10,10,Delaware -- Urban,659673,3450
0400001US11,11,District of Columbia -- Urban,584400,*****
0400001US12,12,Florida -- Urban,15629978,11606
0400001US13,13,Georgia -- Urban,6345692,11174
0400001US15,15,Hawaii -- Urban,1199623,3556
0400001US16,16,Idaho -- Urban,951861,4390
0400001US17,17,Illinois -- Urban,10914270,6974
0400001US18,18,Indiana -- Urban,4368038,6711
0400001US19,19,Iowa -- Urban,1802911,3510
0400001US20,20,Kansas -- Urban,1966461,3349
0400001US21,21,Kentucky -- Urban,2348925,4854
0400001US22,22,Louisiana -- Urban,3048561,5985
0400001US23,23,Maine -- Urban,520690,2777
0400001US24,24,Maryland -- Urban,4804210,5261
0400001US25,25,Massachusetts -- Urban,5861897,5302
0400001US26,26,Michigan -- Urban,7230767,7114
0400001US27,27,Minnesota -- Urban,3585501,4161
0400001US28,28,Mississippi -- Urban,1338741,5829
0400001US29,29,Missouri -- Urban,3967248,5175
0400001US30,30,Montana -- Urban,509231,2586
0400001US31,31,Nebraska -- Urban,1234704,2442
0400001US32,32,Nevada -- Urban,2068184,5642
0400001US33,33,New Hampshire -- Urban,748708,2627
0400001US34,34,New Jersey -- Urban,8125645,5005
0400001US35,35,New Mexico -- Urban,1489867,4658
0400001US36,36,New York -- Urban,16759202,6537
0400001US37,37,North Carolina -- Urban,5324138,10043
0400001US38,38,North Dakota -- Urban,364668,1202
0400001US39,39,Ohio -- Urban,8626880,7294
0400001US40,40,Oklahoma -- Urban,2324129,4090
0400001US41,41,Oregon -- Urban,2966786,5093
0400001US42,42,Pennsylvania -- Urban,9590272,7481
0400001US44,44,Rhode Island -- Urban,954948,1967
0400001US45,45,South Carolina -- Urban,2617184,7474
0400001US46,46,South Dakota -- Urban,401280,2182
0400001US47,47,Tennessee -- Urban,3796783,7493
0400001US48,48,Texas -- Urban,18814537,14237
0400001US49,49,Utah -- Urban,2190748,3844
0400001US50,50,Vermont -- Urban,232788,1943
0400001US51,51,Virginia -- Urban,5600031,6698
0400001US53,53,Washington -- Urban,5286344,5619
0400001US54,54,West Virginia -- Urban,832096,4234
0400001US55,55,Wisconsin -- Urban,3728512,4288
0400001US56,56,Wyoming -- Urban,339582,1821
