GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2507522,21720
0400001US02,02,Alaska -- Urban,446068,7632
0400001US04,04,Arizona -- Urban,4882184,27006
0400001US05,05,Arkansas -- Urban,1472628,17864
0400001US06,06,California -- Urban,34046472,31309
0400001US08,08,Colorado -- Urban,3923892,18978
0400001US09,09,Connecticut -- Urban,3096192,10199
0400001US10,10,Delaware -- Urban,654754,8338
0400001US11,11,District of Columbia -- Urban,604453,*****
0400001US12,12,Florida -- Urban,15789430,38865
0400001US13,13,Georgia -- Urban,6442819,27057
0400001US15,15,Hawaii -- Urban,1215242,10822
0400001US16,16,Idaho -- Urban,962436,12891
0400001US17,17,Illinois -- Urban,10949907,25815
0400001US18,18,Indiana -- Urban,4402694,20797
0400001US19,19,Iowa -- Urban,1785601,16341
0400001US20,20,Kansas -- Urban,1986701,13956
0400001US21,21,Kentucky -- Urban,2378818,17739
0400001US22,22,Louisiana -- Urban,3137294,21936
0400001US23,23,Maine -- Urban,502751,10935
0400001US24,24,Maryland -- Urban,4864518,18304
0400001US25,25,Massachusetts -- Urban,5927155,16268
0400001US26,26,Michigan -- Urban,7114088,24035
0400001US27,27,Minnesota -- Urban,3587232,21009
0400001US28,28,Mississippi -- Urban,1324700,17273
0400001US29,29,Missouri -- Urban,3960260,20494
0400001US30,30,Montana -- Urban,508539,9271
0400001US31,31,Nebraska -- Urban,1236152,9979
0400001US32,32,Nevada -- Urban,2070021,19601
0400001US33,33,New Hampshire -- Urban,743904,10423
0400001US34,34,New Jersey -- Urban,8193214,13369
0400001US35,35,New Mexico -- Urban,1506853,16591
0400001US36,36,New York -- Urban,16895546,23896
0400001US37,37,North Carolina -- Urban,5399809,30495
0400001US38,38,North Dakota -- Urban,361019,6445
0400001US39,39,Ohio -- Urban,8600538,26585
0400001US40,40,Oklahoma -- Urban,2360976,18493
0400001US41,41,Oregon -- Urban,3027397,15874
0400001US42,42,Pennsylvania -- Urban,9634514,24851
0400001US44,44,Rhode Island -- Urban,952191,7543
0400001US45,45,South Carolina -- Urban,2638930,21054
0400001US46,46,South Dakota -- Urban,395700,7707
0400001US47,47,Tennessee -- Urban,3822078,21236
0400001US48,48,Texas -- Urban,19265542,50113
0400001US49,49,Utah -- Urban,2244233,11876
0400001US50,50,Vermont -- Urban,229377,6763
0400001US51,51,Virginia -- Urban,5712701,22020
0400001US53,53,Washington -- Urban,5394703,23437
0400001US54,54,West Virginia -- Urban,832055,14901
0400001US55,55,Wisconsin -- Urban,3708297,22046
0400001US56,56,Wyoming -- Urban,351804,8629
