GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2486711,18556
0400001US02,02,Alaska -- Urban,447003,6033
0400001US04,04,Arizona -- Urban,5096818,24800
0400001US05,05,Arkansas -- Urban,1468524,17846
0400001US06,06,California -- Urban,33729307,33039
0400001US08,08,Colorado -- Urban,3866697,19399
0400001US09,09,Connecticut -- Urban,3036702,11551
0400001US10,10,Delaware -- Urban,657775,6416
0400001US11,11,District of Columbia -- Urban,588292,*****
0400001US12,12,Florida -- Urban,15599382,30074
0400001US13,13,Georgia -- Urban,6597431,27479
0400001US15,15,Hawaii -- Urban,1161715,8086
0400001US16,16,Idaho -- Urban,958457,13758
0400001US17,17,Illinois -- Urban,11099005,21257
0400001US18,18,Indiana -- Urban,4336973,22802
0400001US19,19,Iowa -- Urban,1791772,16199
0400001US20,20,Kansas -- Urban,1969363,13497
0400001US21,21,Kentucky -- Urban,2326122,18489
0400001US22,22,Louisiana -- Urban,2980984,19544
0400001US23,23,Maine -- Urban,520864,10879
0400001US24,24,Maryland -- Urban,4758944,11926
0400001US25,25,Massachusetts -- Urban,5859961,15831
0400001US26,26,Michigan -- Urban,7336535,24411
0400001US27,27,Minnesota -- Urban,3573467,21302
0400001US28,28,Mississippi -- Urban,1336725,16929
0400001US29,29,Missouri -- Urban,3980560,19391
0400001US30,30,Montana -- Urban,515723,8138
0400001US31,31,Nebraska -- Urban,1222229,10709
0400001US32,32,Nevada -- Urban,2088808,17408
0400001US33,33,New Hampshire -- Urban,752309,12503
0400001US34,34,New Jersey -- Urban,8108249,16119
0400001US35,35,New Mexico -- Urban,1486281,13889
0400001US36,36,New York -- Urban,16851156,27460
0400001US37,37,North Carolina -- Urban,5318264,32125
0400001US38,38,North Dakota -- Urban,355720,5353
0400001US39,39,Ohio -- Urban,8642675,29117
0400001US40,40,Oklahoma -- Urban,2344365,17154
0400001US41,41,Oregon -- Urban,2974391,16475
0400001US42,42,Pennsylvania -- Urban,9482334,26763
0400001US44,44,Rhode Island -- Urban,962187,5117
0400001US45,45,South Carolina -- Urban,2601535,25137
0400001US46,46,South Dakota -- Urban,409551,8131
0400001US47,47,Tennessee -- Urban,3819352,23403
0400001US48,48,Texas -- Urban,18954004,44515
0400001US49,49,Utah -- Urban,2245600,13199
0400001US50,50,Vermont -- Urban,228392,6526
0400001US51,51,Virginia -- Urban,5545080,17191
0400001US53,53,Washington -- Urban,5242611,24158
0400001US54,54,West Virginia -- Urban,850827,12822
0400001US55,55,Wisconsin -- Urban,3733126,20949
0400001US56,56,Wyoming -- Urban,331874,7244
