GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2892195,22420
0400001US02,02,Alaska -- Urban,487512,7310
0400001US04,04,Arizona -- Urban,5964986,17693
0400001US05,05,Arkansas -- Urban,1681058,17273
0400001US06,06,California -- Urban,36480870,32510
0400001US08,08,Colorado -- Urban,4537000,15028
0400001US09,09,Connecticut -- Urban,3155354,11595
0400001US10,10,Delaware -- Urban,766783,7480
0400001US11,11,District of Columbia -- Urban,646449,*****
0400001US12,12,Florida -- Urban,17867717,25360
0400001US13,13,Georgia -- Urban,7562291,25983
0400001US15,15,Hawaii -- Urban,1300198,7581
0400001US16,16,Idaho -- Urban,1143834,14554
0400001US17,17,Illinois -- Urban,11412040,19902
0400001US18,18,Indiana -- Urban,4769456,17685
0400001US19,19,Iowa -- Urban,1989653,18295
0400001US20,20,Kansas -- Urban,2132100,14613
0400001US21,21,Kentucky -- Urban,2571307,16888
0400001US22,22,Louisiana -- Urban,3390652,18579
0400001US23,23,Maine -- Urban,515031,12037
0400001US24,24,Maryland -- Urban,5196414,13867
0400001US25,25,Massachusetts -- Urban,6154416,14839
0400001US26,26,Michigan -- Urban,7384511,25314
0400001US27,27,Minnesota -- Urban,3987897,25891
0400001US28,28,Mississippi -- Urban,1498020,17248
0400001US29,29,Missouri -- Urban,4268539,22257
0400001US30,30,Montana -- Urban,567806,8534
0400001US31,31,Nebraska -- Urban,1370056,10518
0400001US32,32,Nevada -- Urban,2627009,8005
0400001US33,33,New Hampshire -- Urban,796589,10026
0400001US34,34,New Jersey -- Urban,8417611,14221
0400001US35,35,New Mexico -- Urban,1630884,10957
0400001US36,36,New York -- Urban,17317321,22832
0400001US37,37,North Carolina -- Urban,6558176,29399
0400001US38,38,North Dakota -- Urban,432928,6272
0400001US39,39,Ohio -- Urban,9056768,27811
0400001US40,40,Oklahoma -- Urban,2556503,16136
0400001US41,41,Oregon -- Urban,3208485,14574
0400001US42,42,Pennsylvania -- Urban,10065353,26989
0400001US44,44,Rhode Island -- Urban,954892,6808
0400001US45,45,South Carolina -- Urban,3186061,24278
0400001US46,46,South Dakota -- Urban,488340,7224
0400001US47,47,Tennessee -- Urban,4332251,18833
0400001US48,48,Texas -- Urban,22497564,39949
0400001US49,49,Utah -- Urban,2626875,10364
0400001US50,50,Vermont -- Urban,245704,6791
0400001US51,51,Virginia -- Urban,6270930,17632
0400001US53,53,Washington -- Urban,5901084,17355
0400001US54,54,West Virginia -- Urban,899417,15502
0400001US55,55,Wisconsin -- Urban,3998087,21508
0400001US56,56,Wyoming -- Urban,382238,8726
