GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2536442,24186
0400001US02,02,Alaska -- Urban,443411,8900
0400001US04,04,Arizona -- Urban,4906393,29744
0400001US05,05,Arkansas -- Urban,1492048,18243
0400001US06,06,California -- Urban,34261587,49893
0400001US08,08,Colorado -- Urban,3957683,20954
0400001US09,09,Connecticut -- Urban,3101902,13635
0400001US10,10,Delaware -- Urban,668778,9550
0400001US11,11,District of Columbia -- Urban,617996,*****
0400001US12,12,Florida -- Urban,15902730,40950
0400001US13,13,Georgia -- Urban,6483809,37138
0400001US15,15,Hawaii -- Urban,1231369,11136
0400001US16,16,Idaho -- Urban,959516,14551
0400001US17,17,Illinois -- Urban,10926162,23767
0400001US18,18,Indiana -- Urban,4403182,19098
0400001US19,19,Iowa -- Urban,1792496,18060
0400001US20,20,Kansas -- Urban,1998543,15970
0400001US21,21,Kentucky -- Urban,2378308,17851
0400001US22,22,Louisiana -- Urban,3129470,22275
0400001US23,23,Maine -- Urban,492908,9453
0400001US24,24,Maryland -- Urban,4891165,18065
0400001US25,25,Massachusetts -- Urban,5952312,16846
0400001US26,26,Michigan -- Urban,7134021,26908
0400001US27,27,Minnesota -- Urban,3604742,22557
0400001US28,28,Mississippi -- Urban,1349689,16725
0400001US29,29,Missouri -- Urban,3985672,20876
0400001US30,30,Montana -- Urban,513390,8546
0400001US31,31,Nebraska -- Urban,1247013,10447
0400001US32,32,Nevada -- Urban,2056896,26737
0400001US33,33,New Hampshire -- Urban,745643,10871
0400001US34,34,New Jersey -- Urban,8184363,14701
0400001US35,35,New Mexico -- Urban,1529967,16062
0400001US36,36,New York -- Urban,16966400,24996
0400001US37,37,North Carolina -- Urban,5452538,37541
0400001US38,38,North Dakota -- Urban,372110,7556
0400001US39,39,Ohio -- Urban,8598014,27190
0400001US40,40,Oklahoma -- Urban,2351219,17735
0400001US41,41,Oregon -- Urban,3035122,16752
0400001US42,42,Pennsylvania -- Urban,9662226,25922
0400001US44,44,Rhode Island -- Urban,945290,7164
0400001US45,45,South Carolina -- Urban,2675090,31796
0400001US46,46,South Dakota -- Urban,397716,7891
0400001US47,47,Tennessee -- Urban,3835876,27288
0400001US48,48,Texas -- Urban,19457805,58255
0400001US49,49,Utah -- Urban,2272849,18767
0400001US50,50,Vermont -- Urban,231711,6214
0400001US51,51,Virginia -- Urban,5782746,19097
0400001US53,53,Washington -- Urban,5490938,22119
0400001US54,54,West Virginia -- Urban,839701,13000
0400001US55,55,Wisconsin -- Urban,3733924,22507
0400001US56,56,Wyoming -- Urban,347089,7511
