states,election_year,rep_pvotes,dem_pvotes,ind_pvotes,oth_pvotes,total_pvotes,rep_votes,rep_pct,dem_votes,dem_pct,ind_votes,ind_pct,oth_votes,oth_pct,tot_votes,year
Connecticut,2006,NA,NA,NA,NA,NA,710048,63.2,398220,35.4,0,0,15198,1.4,1123466,2010
Delaware,2008,28972,73961,0,0,102933,126662,32,266861,67.5,0,0,1681,0.5,395204,2010
Maine ,2006,68574,54422,0,0,120996,166425,30.2,209927,38.1,118715,21.5,55798,10.1,550865,2010
Maryland,2006,213744,524671,0,0,738415,825464,46.2,942279,52.7,0,0,20573,1.1,1717068,2010
Massachusetts ,2006,71430,912348,0,0,983778,784342,35,1234984,55,154628,7,69881,3.1,2243835,2010
New Hampshire,2008,53120,49124,0,0,102444,188555,27.6,479042,70.2,14987,2.2,326,0.05,682910,2010
New Jersey,2009,334215,209304,0,0,543519,1174445,47.9,1087731,44.4,161508,6.6,0,0,2451704,2010
New York ,2006,138263,624684,0,0,762947,1105681,23.5,2740864,58.3,"190,661(c)",4,660661,14,4697867,2010
Pennsylvania,2006,"572,375(d)","644,444 (d)",0,0,1216819,1622135,39.6,2470517,60.4,0,0,0,0,4092652,2010
Rhode Island,2006,63148,88688,0,0,151836,197306,51,189503,48.9,0,0,0,0,387870,2010
Vermont,2008,11798,18851,0,135,30784,170492,53.4,69534,21.7,0,0,79059,24.7,319085,2010
Illinois,2006,699786,931779,0,0,1631565,1368682,38.2,1736219,48.4,0,0,381770,10.6,3586292,2010
Indiana ,2008,350390,1151951,0,0,1502341,1563885,57.8,1082463,40,28,0,57376,2.1,2703752,2010
Iowa ,2006,"73,903 (d)",148000,0,0,221903,467425,44.1,569021,53.7,0,0,22618,2.1,1059064,2010
Kansas,2006,194295,"76,046 (d)",0,0,382003,343586,40.4,491993,57.9,0,0,14121,1.7,849700,2010
Michigan ,2006,581404,531322,0,119,1112845,1608086,42.3,2142513,56.3,0,0,50657,1.3,3801256,2010
Minnesota ,2006,166112,316470,11689,0,514373,1028568,46.4,1007460,45.4,141735,6.4,25174,1.1,2217719,2010
