GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
0400000US01,01,Alabama,41415,550
0400000US02,02,Alaska,67825,1948
0400000US04,04,Arizona,46709,554
0400000US05,05,Arkansas,38758,761
0400000US06,06,California,57287,279
0400000US08,08,Colorado,55387,605
0400000US09,09,Connecticut,65753,854
0400000US10,10,Delaware,58814,1586
0400000US11,11,District of Columbia,63124,2407
0400000US12,12,Florida,44299,406
0400000US13,13,Georgia,46007,454
0400000US15,15,Hawaii,61821,1035
0400000US16,16,Idaho,43341,1320
0400000US17,17,Illinois,53234,511
0400000US18,18,Indiana,46438,455
0400000US19,19,Iowa,49427,693
0400000US20,20,Kansas,48964,756
0400000US21,21,Kentucky,41141,464
0400000US22,22,Louisiana,41734,528
0400000US23,23,Maine,46033,802
0400000US24,24,Maryland,70004,804
0400000US25,25,Massachusetts,62859,902
0400000US26,26,Michigan,45981,330
0400000US27,27,Minnesota,56954,488
0400000US28,28,Mississippi,36919,583
0400000US29,29,Missouri,45247,529
0400000US30,30,Montana,44222,1078
0400000US31,31,Nebraska,50296,687
0400000US32,32,Nevada,48927,1020
0400000US33,33,New Hampshire,62647,1415
0400000US34,34,New Jersey,67458,721
0400000US35,35,New Mexico,41963,803
0400000US36,36,New York,55246,398
0400000US37,37,North Carolina,43916,519
0400000US38,38,North Dakota,51704,1260
0400000US39,39,Ohio,45749,319
0400000US40,40,Oklahoma,43225,607
0400000US41,41,Oregon,46816,711
0400000US42,42,Pennsylvania,50228,292
0400000US44,44,Rhode Island,53636,1699
0400000US45,45,South Carolina,42367,559
0400000US46,46,South Dakota,48321,1598
0400000US47,47,Tennessee,41693,423
0400000US48,48,Texas,49392,391
0400000US49,49,Utah,55869,805
0400000US50,50,Vermont,52776,1420
0400000US51,51,Virginia,61882,507
0400000US53,53,Washington,56835,569
0400000US54,54,West Virginia,38482,875
0400000US55,55,Wisconsin,50395,428
0400000US56,56,Wyoming,56322,1890
0400000US72,72,Puerto Rico,18660,358
