GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2012 inflation-adjusted dollars)
0400000US01,01,Alabama,43160,237
0400000US02,02,Alaska,69917,738
0400000US04,04,Arizona,50256,235
0400000US05,05,Arkansas,40531,238
0400000US06,06,California,61400,154
0400000US08,08,Colorado,58244,315
0400000US09,09,Connecticut,69519,414
0400000US10,10,Delaware,60119,714
0400000US11,11,District of Columbia,64267,977
0400000US12,12,Florida,47309,189
0400000US13,13,Georgia,49604,201
0400000US15,15,Hawaii,67492,698
0400000US16,16,Idaho,47015,441
0400000US17,17,Illinois,56853,213
0400000US18,18,Indiana,48374,204
0400000US19,19,Iowa,51129,273
0400000US20,20,Kansas,51273,259
0400000US21,21,Kentucky,42610,238
0400000US22,22,Louisiana,44673,254
0400000US23,23,Maine,48219,446
0400000US24,24,Maryland,72999,344
0400000US25,25,Massachusetts,66658,306
0400000US26,26,Michigan,48471,188
0400000US27,27,Minnesota,59126,224
0400000US28,28,Mississippi,38882,290
0400000US29,29,Missouri,47333,208
0400000US30,30,Montana,45456,512
0400000US31,31,Nebraska,51381,286
0400000US32,32,Nevada,54083,349
0400000US33,33,New Hampshire,64925,565
0400000US34,34,New Jersey,71637,324
0400000US35,35,New Mexico,44886,358
0400000US36,36,New York,57683,214
0400000US37,37,North Carolina,46450,188
0400000US38,38,North Dakota,51641,609
0400000US39,39,Ohio,48246,160
0400000US40,40,Oklahoma,44891,237
0400000US41,41,Oregon,50036,338
0400000US42,42,Pennsylvania,52267,157
0400000US44,44,Rhode Island,56102,664
0400000US45,45,South Carolina,44623,253
0400000US46,46,South Dakota,49091,470
0400000US47,47,Tennessee,44140,230
0400000US48,48,Texas,51563,138
0400000US49,49,Utah,58164,350
0400000US50,50,Vermont,54168,617
0400000US51,51,Virginia,63636,250
0400000US53,53,Washington,59374,263
0400000US54,54,West Virginia,40400,328
0400000US55,55,Wisconsin,52627,183
0400000US56,56,Wyoming,56573,981
0400000US72,72,Puerto Rico,19515,146
