state,dem_fedvotes,rep_fedvotes,oth_fedvotes,year
AL,"1,997,376","3,498,251","19,647",2004
AK,"318,523","553,878","48,508",2004
AS,"6,656","5,472",,2004
AZ,"1,895,557","3,737,257","212,893",2004
AR,"1,477,306","1,388,774","19,454",2004
CA,"19,924,911","15,096,569","1,077,420",2004
CO,"3,078,203","3,073,758","124,934",2004
CT,"2,588,582","1,781,509","62,142",2004
DE,"305,868","417,638","7,729",2004
DC,"404,997","39,552","4,250",2004
FL,"9,386,069","10,956,682","324,447",2004
GA,"3,774,708","5,598,273","90,638",2004
GU,"31,051",0,837,2004
HI,"807,221","429,806","23,903",2004
ID,"352,158","1,310,397","12,250",2004
IL,"9,164,279","6,008,312","231,916",2004
IN,"3,465,069","3,765,050","82,367",2004
IA,"1,778,883","2,612,785","52,629",2004
KS,"1,132,300","2,241,113","99,748",2004
KY,"2,165,673","2,960,325","29,489",2004
LA,"2,426,066","3,114,065","48,198",2004
ME,"815,222","613,411","22,295",2004
MD,"4,149,975","2,703,990","111,851",2004
MA,"3,863,784","1,506,348","123,211",2004
MI,"4,721,618","4,602,340","146,352",2004
MN,"2,844,638","2,582,789","122,641",2004
MS,"794,334","1,343,570","130,444",2004
MO,"3,610,106","4,403,569","91,114",2004
MT,"319,316","552,139","23,220",2004
NE,"485,025","1,027,929","30,204",2004
NV,"1,225,907","1,124,041","81,140",2004
NH,"805,566","1,162,108","18,716",2004
NJ,"3,632,822","3,184,787","78,677",2004
NM,"755,842","734,735","8,626",2004
NY,"12,156,311","6,796,927","1,363,091",2004
NC,"4,828,240","5,495,747","62,173",2004
ND,"508,325","420,888","5,130",2004
OH,"7,217,031","8,974,541","46,040",2004
OK,"1,489,745","2,598,258","197,211",2004
OR,"3,023,579","2,193,630","172,429",2004
PA,"7,750,460","8,284,004","446,505",2004
PR,0,0,"1,959,553",2004
RI,"539,075","282,004","18,230",2004
SC,"1,852,562","2,708,309","93,198",2004
SD,"550,421","609,255","9,195",2004
TN,"2,068,436","2,545,196","42,425",2004
TX,"5,546,672","8,539,451","283,245",2004
UT,"861,782","1,810,785","75,860",2004
VT,"422,723","270,849","230,953",2004
VI,"17,879","1,512","7,540",2004
VA,"2,477,929","3,534,381","190,064",2004
WA,"4,668,660","3,604,971","134,099",2004
WV,"741,937","726,820","8,786",2004
WI,"4,490,738","4,160,122","117,503",2004
WY,"170,765","299,736","11,961",2004
