state,dem_fedvotes,rep_fedvotes,oth_fedvotes,year
AL,"502,046","627,501","10,605",2006
AK,"93,879","132,743","8,023",2006
AS,"5,195","4,493","1,345",2006
AZ,"1,291,400","1,585,644","142,888",2006
AR,"456,569","306,442",0,2006
CA,"9,796,453","6,305,220","735,619",2006
CO,"832,888","623,784","82,236",2006
CT,"1,093,703","529,093","586,723",2006
DE,"268,132","213,631","24,030",2006
DC,"111,726",0,"3,051",2006
FL,"4,490,516","4,008,960","146,000",2006
GA,"932,143","1,138,048",116,2006
GU,"32,677",0,"1,201",2006
HI,"430,140","244,231","6,415",2006
ID,"177,376","248,105","19,825",2006
IL,"1,987,114","1,442,969","23,625",2006
IN,"812,496","2,003,338","192,199",2006
IA,"492,937","522,388","18,363",2006
KS,"369,191","459,267","16,669",2006
KY,"601,723","611,780","40,023",2006
LA,"357,926","579,702","27,034",2006
ME,"462,665","565,753","51,428",2006
MD,"2,064,918","1,334,044","83,379",2006
MA,"3,133,045","860,082","96,020",2006
MI,"4,074,763","3,184,462","169,419",2006
MN,"2,431,470","1,760,289","189,987",2006
MS,"473,330","692,707","45,581",2006
MO,"2,047,513","2,056,287","121,981",2006
MT,"358,761","435,407","18,471",2006
NE,"640,298","548,105",0,2006
NV,"526,675","582,818","47,906",2006
NH,"209,434","189,615","3,620",2006
NJ,"2,408,627","1,900,951","77,334",2006
NM,"707,489","411,651",494,2006
NY,"5,147,895","2,333,868","1,143,668",2006
NC,"1,026,915","913,893",0,2006
ND,"293,080","139,104","3,589",2006
OH,"4,339,106","3,631,427","9,898",2006
OK,"372,888","518,025","14,281",2006
OR,"765,853","557,491","34,090",2006
PA,"4,622,075","3,416,941","55,415",2006
RI,"471,138","220,857","66,838",2006
SC,"461,600","599,615","24,991",2006
SD,"230,468","97,864","5,230",2006
TN,"1,740,837","1,729,458","78,826",2006
TX,"3,446,071","4,772,926","345,840",2006
UT,"421,942","648,473","70,527",2006
VT,"139,815","201,947","183,383",2006
VI,"19,593",0,"11,212",2006
VA,"2,122,709","2,389,067","155,905",2006
WA,"2,428,754","1,630,111","78,925",2006
WV,"560,098","345,936","8,663",2006
WI,"2,442,370","1,670,370","88,970",2006
WY,"149,995","228,510","8,000",2006
