state_name,tot_senate,tot_house,senate_elections,house_elections,year
Alabama,35,105,…,…,2013
Alaska,20,40,…,…,2013
Arizona,30,60,…,…,2013
Arkansas,35,100,…,…,2013
California,40,80,…,…,2013
Colorado,35,65,…,…,2013
Connecticut,36,151,…,…,2013
Delaware,21,41,…,…,2013
Florida,40,120,…,…,2013
Georgia,56,180,…,…,2013
Hawaii ,25,51,…,…,2013
Idaho,35,70,…,…,2013
Illinois,59,118,…,…,2013
Indiana,50,100,…,…,2013
Iowa,50,100,…,…,2013
Kansas,40,125,…,…,2013
Kentucky,38,100,…,…,2013
Louisiana,39,105,…,…,2013
Maine,35,151,…,…,2013
Maryland,47,141,…,…,2013
Massachusetts,40,160,…,…,2013
Michigan,38,110,…,…,2013
Minnesota,67,134,…,…,2013
Mississippi,52,122,…,…,2013
Missouri,34,163,…,…,2013
Montana,50,100,…,…,2013
Nebraska,49,U,…,…,2013
Nevada,21,42,…,…,2013
New Hampshire,24,400,…,…,2013
New Jersey,40,80,40,80,2013
New Mexico,42,70,…,…,2013
New York,63,150,…,…,2013
North Carolina,50,120,…,…,2013
North Dakota,47,94,…,…,2013
Ohio,33,99,…,…,2013
Oklahoma,48,101,…,…,2013
Oregon,30,60,…,…,2013
Pennsylvania,50,203,…,…,2013
Rhode Island,38,75,…,…,2013
South Carolina,46,124,…,…,2013
South Dakota,35,70,…,…,2013
Tennessee,33,99,…,…,2013
Texas,31,150,…,…,2013
Utah,29,75,…,…,2013
Vermont,30,150,…,…,2013
Virginia,40,100,…,100,2013
Washington,49,98,…,…,2013
West Virginia,34,100,…,…,2013
Wisconsin,33,99,…,…,2013
Wyoming,30,60,…,…,2013
