state_name,tot_senate,tot_house,senate_elections,house_elections,year
Alabama,35,105,. . .,. . .,2008
Alaska,20,40,10,40,2008
Arizona,30,60,30,60,2008
Arkansas,35,100,18,100,2008
California,40,80,20,80,2008
Colorado,35,65,17,65,2008
Connecticut,36,151,36,151,2008
Delaware,21,41,11,41,2008
Florida,40,120,20,120,2008
Georgia,56,180,56,180,2008
Hawaii,25,51,12,51,2008
Idaho,35,70,35,70,2008
Illinois,59 (a),118,39,118,2008
Indiana,50,100,25,100,2008
Iowa,50,100,25 (b),100,2008
Kansas,40,125,40,125,2008
Kentucky,38,100,19,100,2008
Louisiana,39,105,. . .,. . .,2008
Maine,35,151,35,151,2008
Maryland,47,141,. . .,. . .,2008
Massachusetts,40,160,40,160,2008
Michigan,38,110,. . .,110,2008
Minnesota,67,134,. . .,134,2008
Mississippi,52,122,. . .,. . .,2008
Missouri,34,163,17,163,2008
Montana,50,100,25,100,2008
Nebraska,49,U,25,U,2008
Nevada,21,42,10,42,2008
New Hampshire,24,400,24,400,2008
New Jersey,40,80,. . .,. . .,2008
New Mexico,42,70,42,70,2008
New York,62,150,62,150,2008
North Carolina,50,120,50,120,2008
North Dakota,47,94,23 (b),47 (b),2008
Ohio,33,99,16,99,2008
Oklahoma,48,101,24,101,2008
Oregon,30,60,15,60,2008
Pennsylvania,50,203,25 (c),203,2008
Rhode Island,38,75,38,75,2008
South Carolina,46,124,46,124,2008
South Dakota,35,70,35,70,2008
Tennessee,33,99,16,99,2008
Texas,31,150,15,150,2008
Utah,29,75,14,75,2008
Vermont,30,150,30,150,2008
Virginia,40,100,. . .,. . .,2008
Washington ,49,98,25,98,2008
West Virginia,34,100,17,100,2008
Wisconsin,33,99,16,99,2008
Wyoming,30,60,15,60,2008
