state_name,tot_senate,tot_house,senate_elections,house_elections,year
Alabama,35,105,. . .,. . .,2009
Alaska,20,40,. . .,. . .,2009
Arizona,30,60,. . .,. . .,2009
Arkansas,35,100,. . .,. . .,2009
California,40,80,. . .,. . .,2009
Colorado,35,65,. . .,. . .,2009
Connecticut,36,151,. . .,. . .,2009
Delaware,21,41,. . .,. . .,2009
Florida,40,120,. . .,. . .,2009
Georgia,56,180,. . .,. . .,2009
Hawaii,25,51,. . .,. . .,2009
Idaho,35,70,. . .,. . .,2009
Illinois,59 (a),118,. . .,. . .,2009
Indiana,50,100,. . .,. . .,2009
Iowa,50,100,. . .,. . .,2009
Kansas,40,125,. . .,. . .,2009
Kentucky,38,100,. . .,. . .,2009
Louisiana,39,105,. . .,. . .,2009
Maine,35,151,. . .,. . .,2009
Maryland,47,141,. . .,. . .,2009
Massachusetts,40,160,. . .,. . .,2009
Michigan,38,110,. . .,. . .,2009
Minnesota,67,134,. . .,. . .,2009
Mississippi,52,122,. . .,. . .,2009
Missouri,34,163,. . .,. . .,2009
Montana,50,100,. . .,. . .,2009
Nebraska,49,U,. . .,. . .,2009
Nevada,21,42,. . .,. . .,2009
New Hampshire,24,400,. . .,. . .,2009
New Jersey,40,80,. . .,80,2009
New Mexico,42,70,. . .,. . .,2009
New York,62,150,. . .,. . .,2009
North Carolina,50,120,. . .,. . .,2009
North Dakota,47,94,. . .,. . .,2009
Ohio,33,99,. . .,. . .,2009
Oklahoma,48,101,. . .,. . .,2009
Oregon,30,60,. . .,. . .,2009
Pennsylvania,50,203,. . .,. . .,2009
Rhode Island,38,75,. . .,. . .,2009
South Carolina,46,124,. . .,. . .,2009
South Dakota,35,70,. . .,. . .,2009
Tennessee,33,99,. . .,. . .,2009
Texas,31,150,. . .,. . .,2009
Utah,29,75,. . .,. . .,2009
Vermont,30,150,. . .,. . .,2009
Virginia,40,100,. . .,100,2009
Washington ,49,98,. . .,. . .,2009
West Virginia,34,100,. . .,. . .,2009
Wisconsin,33,99,. . .,. . .,2009
Wyoming,30,60,. . .,. . .,2009
