state_name,elections,year
Alabama,. . .,2011
Alaska,. . .,2011
Arizona,. . .,2011
Arkansas,. . .,2011
California,. . .,2011
Colorado ,. . .,2011
Connecticut,. . .,2011
Delaware,. . .,2011
Florida ,. . .,2011
Georgia,. . .,2011
Hawaii,. . .,2011
Idaho,. . .,2011
Illinois,. . .,2011
Indiana,. . .,2011
Iowa,. . .,2011
Kansas,. . .,2011
Kentucky,"G,LG,AG,AR,A,SS,T",2011
Louisiana ,"G,LG,AG,AR,CI,SS,T",2011
Maine (e),. . .,2011
Maryland,. . .,2011
Massachusetts,. . .,2011
Michigan,. . .,2011
Minnesota ,. . .,2011
Mississippi,"G,LG,AG,AR,A,CI,SS,T",2011
Missouri,. . .,2011
Montana,. . .,2011
Nebraska ,. . .,2011
Nevada,. . .,2011
New Hampshire,. . .,2011
New Jersey,. . .,2011
New Mexico ,. . .,2011
New York,. . .,2011
North Carolina,. . .,2011
North Dakota ,. . .,2011
Ohio,. . .,2011
Oklahoma,. . .,2011
Oregon,. . .,2011
Pennsylvania,. . .,2011
Rhode Island,. . .,2011
South Carolina,. . .,2011
South Dakota ,. . .,2011
Tennessee ,. . .,2011
Texas ,. . .,2011
Utah,. . .,2011
Vermont,. . .,2011
Virginia,. . .,2011
Washington,. . .,2011
West Virginia,G(q),2011
Wisconsin,. . .,2011
Wyoming,. . .,2011
