state_name,elections,year
Alabama,. . .,2013
Alaska,. . .,2013
Arizona,. . .,2013
Arkansas,. . .,2013
California,. . .,2013
Colorado ,. . .,2013
Connecticut,. . .,2013
Delaware,. . .,2013
Florida ,. . .,2013
Georgia,. . .,2013
Hawaii,. . .,2013
Idaho,. . .,2013
Illinois,. . .,2013
Indiana,. . .,2013
Iowa,. . .,2013
Kansas,. . .,2013
Kentucky,. . .,2013
Louisiana ,. . .,2013
Maine (e),. . .,2013
Maryland,. . .,2013
Massachusetts,. . .,2013
Michigan,. . .,2013
Minnesota ,. . .,2013
Mississippi,. . .,2013
Missouri,. . .,2013
Montana,. . .,2013
Nebraska ,. . .,2013
Nevada,. . .,2013
New Hampshire,. . .,2013
New Jersey,"G,LG",2013
New Mexico ,. . .,2013
New York,. . .,2013
North Carolina,. . .,2013
North Dakota ,. . .,2013
Ohio,. . .,2013
Oklahoma,. . .,2013
Oregon,. . .,2013
Pennsylvania,. . .,2013
Rhode Island,. . .,2013
South Carolina,. . .,2013
South Dakota ,. . .,2013
Tennessee ,. . .,2013
Texas ,. . .,2013
Utah,. . .,2013
Vermont,. . .,2013
Virginia,"G,LG,AG",2013
Washington,. . .,2013
West Virginia,. . .,2013
Wisconsin,SP,2013
Wyoming,. . .,2013
