state_name,elections,year
Alabama,. . .,2012
Alaska,. . .,2012
Arizona,(a),2012
Arkansas,. . .,2012
California,. . .,2012
Colorado ,. . .,2012
Connecticut,. . .,2012
Delaware,"G, LG, CI",2012
Florida ,. . .,2012
Georgia,. . .,2012
Hawaii,. . .,2012
Idaho,. . .,2012
Illinois,. . .,2012
Indiana,"G, LG, AG, SP",2012
Iowa,. . .,2012
Kansas,. . .,2012
Kentucky,. . .,2012
Louisiana ,. . .,2012
Maine (e),. . .,2012
Maryland,. . .,2012
Massachusetts,. . .,2012
Michigan,(f),2012
Minnesota ,G(g),2012
Mississippi,. . .,2012
Missouri,"G,LG,AG,SS,T",2012
Montana,"G,LG,AG,A,SS,SP",2012
Nebraska ,. . .,2012
Nevada,. . .,2012
New Hampshire,G ,2012
New Jersey,. . .,2012
New Mexico ,. . .,2012
New York,. . .,2012
North Carolina,"G,LG,AG,AR,A,CI,SS,SP,T (i)",2012
North Dakota ,"G,LG,A,CI,SP,T (j)",2012
Ohio,. . .,2012
Oklahoma, (l),2012
Oregon,"AG,SS,T (m)",2012
Pennsylvania,"AG,A,T",2012
Rhode Island,. . .,2012
South Carolina,. . .,2012
South Dakota ,(o),2012
Tennessee ,. . .,2012
Texas ,(p),2012
Utah,"G,LG,AG,A,T",2012
Vermont,"G,LG,AG,A,SS,T",2012
Virginia,. . .,2012
Washington,"G,LG,AG,A,CI,SS,SP,T (q)",2012
West Virginia,"G,AG,AR,A,SS,T",2012
Wisconsin,. . .,2012
Wyoming,. . .,2012
