state_name,elections,year
Alabama,"G,LG,AG,AR,A,SS,T",2006
Alaska (a),"G,LG",2006
Arizona,"G,AG,SS,SP,T,(b)",2006
Arkansas,"G,LG,AG,A,SS,T (f)",2006
California,"G,LG,AG,SS,SP,T (c)(g)",2006
Colorado ,"G,LG,AG,SS,T ",2006
Connecticut,"G,LG,AG,C,SS,T",2006
Delaware,"AG,A,T",2006
Florida ,"G,LG,AG,AR,CFO ",2006
Georgia,"G,LG,AG,AR,C,SS,SP (e)",2006
Hawaii,"G,LG",2006
Idaho,"G,LG,AG,C,SS,SP,T",2006
Illinois,"G,LG,AG,C,SS,T",2006
Indiana,"A,SS,T",2006
Iowa,"G,LG,AG,AR,A,SS,T",2006
Kansas,"G,LG,AG,SS,T (d)",2006
Kentucky,. . .,2006
Louisiana ,. . .,2006
Maine (h) ,G,2006
Maryland,"G,LG,AG,C",2006
Massachusetts,"G,LG,AG,A,SS,T",2006
Michigan,"G,LG,AG,SS (i)",2006
Minnesota ,"G,LG,AG,A,SS",2006
Mississippi,. . .,2006
Missouri,A,2006
Montana,. . .,2006
Nebraska ,"G,LG,AG,A,SS,T ",2006
Nevada,"G,LG,AG,SS,T (g)",2006
New Hampshire,G,2006
New Jersey,. . .,2006
New Mexico ,"G,LG,AG,A,SS,T (k)",2006
New York,"G,LG,AG,C",2006
North Carolina,. . .,2006
North Dakota ,"SS,AG,AR (m)(j)",2006
Ohio,"G,LG,A,AG,SS,T ",2006
Oklahoma,"G,LG,AG,A,SP,T (n)",2006
Oregon,"G,SP (u)",2006
Pennsylvania,"G,LG",2006
Rhode Island,"G,LG,AG,SS,T",2006
South Carolina,"G,LG,AG,AR,C,SS,SP,T (o)",2006
South Dakota ,"G,LG,AG,A,SS,T (p)",2006
Tennessee ,G,2006
Texas ,"G,LG,AG,AR,C (q)",2006
Utah,. . .,2006
Vermont,"G,LG,AG,A,SS,T",2006
Virginia,. . .,2006
Washington,. . .,2006
West Virginia,. . .,2006
Wisconsin,"G,LG,AG,SS,T",2006
Wyoming,"G,A,SS,SP,T",2006
