GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2009 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2009 inflation-adjusted dollars)
0400000US01,01,Alabama,41458,298
0400000US02,02,Alaska,66565,1288
0400000US04,04,Arizona,50356,267
0400000US05,05,Arkansas,38577,329
0400000US06,06,California,60422,153
0400000US08,08,Colorado,56334,356
0400000US09,09,Connecticut,67724,601
0400000US10,10,Delaware,57176,903
0400000US11,11,District of Columbia,58422,1132
0400000US12,12,Florida,47051,178
0400000US13,13,Georgia,49173,300
0400000US15,15,Hawaii,65305,1013
0400000US16,16,Idaho,46327,510
0400000US17,17,Illinois,55095,211
0400000US18,18,Indiana,47135,258
0400000US19,19,Iowa,48457,323
0400000US20,20,Kansas,48767,367
0400000US21,21,Kentucky,40807,315
0400000US22,22,Louisiana,42438,292
0400000US23,23,Maine,46428,509
0400000US24,24,Maryland,69695,336
0400000US25,25,Massachusetts,64722,361
0400000US26,26,Michigan,47461,169
0400000US27,27,Minnesota,56704,264
0400000US28,28,Mississippi,37034,360
0400000US29,29,Missouri,46109,247
0400000US30,30,Montana,43345,571
0400000US31,31,Nebraska,47931,426
0400000US32,32,Nevada,55322,583
0400000US33,33,New Hampshire,62629,634
0400000US34,34,New Jersey,69240,384
0400000US35,35,New Mexico,42737,557
0400000US36,36,New York,55353,234
0400000US37,37,North Carolina,45131,250
0400000US38,38,North Dakota,46056,674
0400000US39,39,Ohio,46838,178
0400000US40,40,Oklahoma,42358,273
0400000US41,41,Oregon,49325,316
0400000US42,42,Pennsylvania,50028,191
0400000US44,44,Rhode Island,54700,864
0400000US45,45,South Carolina,43480,339
0400000US46,46,South Dakota,45378,631
0400000US47,47,Tennessee,42832,275
0400000US48,48,Texas,48765,169
0400000US49,49,Utah,56340,482
0400000US50,50,Vermont,51555,568
0400000US51,51,Virginia,60539,303
0400000US53,53,Washington,57125,304
0400000US54,54,West Virginia,37661,418
0400000US55,55,Wisconsin,51257,227
0400000US56,56,Wyoming,52951,1006
0400000US72,72,Puerto Rico,18342,163
