GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2008 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2008 inflation-adjusted dollars)
0400000US01,01,Alabama,42131,275
0400000US02,02,Alaska,66293,1129
0400000US04,04,Arizona,51124,309
0400000US05,05,Arkansas,39127,349
0400000US06,06,California,61154,173
0400000US08,08,Colorado,56574,345
0400000US09,09,Connecticut,68411,584
0400000US10,10,Delaware,57270,944
0400000US11,11,District of Columbia,56428,1383
0400000US12,12,Florida,48637,157
0400000US13,13,Georgia,50549,281
0400000US15,15,Hawaii,66034,932
0400000US16,16,Idaho,47331,581
0400000US17,17,Illinois,55935,225
0400000US18,18,Indiana,48675,283
0400000US19,19,Iowa,48585,318
0400000US20,20,Kansas,49189,388
0400000US21,21,Kentucky,41763,277
0400000US22,22,Louisiana,42634,333
0400000US23,23,Maine,46807,530
0400000US24,24,Maryland,70005,421
0400000US25,25,Massachusetts,64684,361
0400000US26,26,Michigan,49694,215
0400000US27,27,Minnesota,57795,275
0400000US28,28,Mississippi,37404,446
0400000US29,29,Missouri,46408,274
0400000US30,30,Montana,44042,537
0400000US31,31,Nebraska,49231,412
0400000US32,32,Nevada,56348,529
0400000US33,33,New Hampshire,63989,596
0400000US34,34,New Jersey,69674,354
0400000US35,35,New Mexico,43202,539
0400000US36,36,New York,55401,210
0400000US37,37,North Carolina,46107,236
0400000US38,38,North Dakota,45390,623
0400000US39,39,Ohio,48023,152
0400000US40,40,Oklahoma,42541,309
0400000US41,41,Oregon,49863,339
0400000US42,42,Pennsylvania,50272,193
0400000US44,44,Rhode Island,55327,836
0400000US45,45,South Carolina,44326,297
0400000US46,46,South Dakota,45542,534
0400000US47,47,Tennessee,43662,255
0400000US48,48,Texas,49078,190
0400000US49,49,Utah,56484,419
0400000US50,50,Vermont,51704,682
0400000US51,51,Virginia,61044,347
0400000US53,53,Washington,57234,356
0400000US54,54,West Virginia,37870,342
0400000US55,55,Wisconsin,52249,216
0400000US56,56,Wyoming,53096,918
0400000US72,72,Puerto Rico,18610,163
