GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2007 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2007 inflation-adjusted dollars)
0400000US01,01,Alabama,40052,285
0400000US02,02,Alaska,61766,936
0400000US04,04,Arizona,48609,325
0400000US05,05,Arkansas,37555,318
0400000US06,06,California,58361,163
0400000US08,08,Colorado,54262,319
0400000US09,09,Connecticut,65496,462
0400000US10,10,Delaware,55303,983
0400000US11,11,District of Columbia,52187,1024
0400000US12,12,Florida,46602,173
0400000US13,13,Georgia,48540,252
0400000US15,15,Hawaii,62543,764
0400000US16,16,Idaho,44901,570
0400000US17,17,Illinois,53745,204
0400000US18,18,Indiana,47034,218
0400000US19,19,Iowa,46399,309
0400000US20,20,Kansas,46669,305
0400000US21,21,Kentucky,40138,304
0400000US22,22,Louisiana,40160,270
0400000US23,23,Maine,45211,455
0400000US24,24,Maryland,66873,409
0400000US25,25,Massachusetts,61785,374
0400000US26,26,Michigan,48642,201
0400000US27,27,Minnesota,55616,291
0400000US28,28,Mississippi,35632,365
0400000US29,29,Missouri,44545,218
0400000US30,30,Montana,42425,484
0400000US31,31,Nebraska,46954,392
0400000US32,32,Nevada,53753,459
0400000US33,33,New Hampshire,61459,704
0400000US34,34,New Jersey,66509,342
0400000US35,35,New Mexico,41042,399
0400000US36,36,New York,52944,158
0400000US37,37,North Carolina,43867,225
0400000US38,38,North Dakota,43442,588
0400000US39,39,Ohio,46296,172
0400000US40,40,Oklahoma,40371,305
0400000US41,41,Oregon,47385,400
0400000US42,42,Pennsylvania,47913,222
0400000US44,44,Rhode Island,54060,738
0400000US45,45,South Carolina,42405,369
0400000US46,46,South Dakota,43586,586
0400000US47,47,Tennessee,41821,289
0400000US48,48,Texas,46248,157
0400000US49,49,Utah,53324,314
0400000US50,50,Vermont,49382,678
0400000US51,51,Virginia,58378,339
0400000US53,53,Washington,53940,244
0400000US54,54,West Virginia,36088,408
0400000US55,55,Wisconsin,50309,254
0400000US56,56,Wyoming,50009,949
0400000US72,72,Puerto Rico,18191,211
